Questions,Answers
"The population of a village decreased from 1,230 to 1,040 due to breakout of an epidemic. What is the percentage decrease in the population?

A. 15.44%
B. 15.43%
C. 15.42%
D. 15.45%",D
"The interior angle of a regular polygon is five times the size of its exterior angle. Identify the polygon.

A. dodecagon
B. enneadecagon
C. icosagon
D. hendecagon",A
"The area A of a circle is increasing at a constant rate of 1.5 cm2s−1
. Find, to 3 significant figures, the rate at which the radius r of the circle is increasing when the area of the circle is 2 cm2
.

A. 0.200 cms−1
B. 0.798 cms−1
C. 0.300 cms−1
D. 0.299 cms−1",D
"Solve for x: 3(x – 1) ≤ 2 (x – 3)

A. x ≤ -3
B. x ≥ -3
C. x ≤ 3
D. x ≥ 3",A
"If a car runs at a constant speed and takes 4.5 hrs to run a distance of 225 km, what time will it take to run 150 km?

A. 2 hrs
B. 4 hrs
C. 3 hrs
D. 1 hr",C
"Find the value of t, if the distance between the points P(–3, –14) and Q(t, –5) is 9 units.

A. 3
B. 2
C. - 3
D. - 2",C
"At simple interest, a man made a deposit of some money in the bank. The amount in his bank account after 10 years is three times the money deposited. If the interest rate stays the same, after how many years will the amount be five times the money deposited?

A. 15 years
B. 25 years
C. 20 years
D. 30 years",C
"The ages of students in a small primary school were recorded in the table below.

 Age          	        5 - 6	             7 - 8	       9 -10
Frequency	          29	              40	         38 

Estimate the mean

A. 7.7
B. 7.5
C. 7.8
D. 7.6",A
"A committee of 5 people is to be chosen from a group of 6 men and 4 women. How many committees are possible if there is to be a majority of women?

A. 60
B. 15
C. 66
D. 4",C
"A coin is thrown 3 times. What is the probability that atleast one head is obtained?

A. 7/8
B. 3/8
C. None the above
D. 1/8",A
"Calculate the mean deviation of the first five prime numbers.

A. 2.72
B. 5.6
C. 5.25
D. 13.6",A
